"id","name","lon","lat"
"47170694",Station Schiller Rundhausdenkmal,13.807211,51.052145
"38120925",Station Vogosca-Trg Branilaca Vogosce,18.344525,43.900372
"33513328",Station P4-Na Mlejnku,14.40979,50.03467
"73679337",Station Bahnhof Beelitz-Heilstätten,12.925528,52.261903
"199415135",Station virtuell - Kaiser-Wilhelm-Straße/Alt-Lankwitz,13.351523,52.439946
"44802908",Station VIT-Třinecké železárny - u zámku,18.272061,49.817992
"44499302",Station Am Märchen,7.053821,51.025985
"167417112",Station virtuell - Potsdamer Platz/Gabriele-Tergit-Promenade (Abstellfläche-Mikromobilität),13.376653,52.508286
"47265072",Station ul. Poniatowskiego / XXIII LO,22.540373,51.251296
"1347733",Station Plac Rodła - al. Wyzwolenia,14.55429,53.43144
"138363682",Station virtuell - Dammweg/Orionstraße,13.488954,52.464145
"6510957",Station THM D / Gutfleischstraße,8.681104,50.589469
"20729204",Station Centrum,21.262473,52.10674
"2585297",Station Plac Inwalidów,20.9896,52.264502
"199331449",Station Pop TV - Kranjčeva ulica ,14.521694,46.069196
"59619776",Station Pionýrská,16.604758,49.207695
"43156309",Station Městské lázně,17.670385,49.221332
"108548847",Station Eingang Messe Ost (3),6.981523,50.943379
"150125330",Station Anderston West,-4.274518,55.861585
"108565767",Station DPMŽ Kvačalova,18.719769,49.222775
"6009721",Station Maczka,16.91482,52.42408
"60675086",Station VIA PER AZZANO S. PAOLO,9.66136,45.67064
"6259683",Station Hafen/ Seestr.4,8.243249,46.887739
"20844102",Station Ormeau Road / Somerset Street,-5.918787,54.578142
"5368062",Station Plazoleta de Farray,-15.435416,28.13703
"175439162",Station virtuell - Oderstraße/Herrfurthstraße (Ost),13.41899,52.476651
"29411666",Station Beroun - Za Radnicí,14.075729,49.964234
"49487665",Station wbg bewegt.wohnen – Langwasser Nord,11.124778,49.412873
"131498450",Station virtuell - Ebertstraße/Mühsamstraße,13.454695,52.521313
"31581702",Station Zwierzyniecka / Świerkowa,23.155999,53.119347
"40095149",Station Sankt-Pauli-Friedhof,13.737755,51.0872
"138042357",Station virtuell - Olympiastadion (Ost),13.25685,52.516486
"6270392",Station Werbellinstraße/Falkstraße,13.428787,52.477742
"28181136",Station Palacza/Heweliusza,16.871831,52.394265
"18803206",Station Lesopark,18.465083,49.77276
"10299352",Station Kolejowa / Dworzec PKP,19.425211,51.851055
"29857287",Station Wasserwelten,10.518707,52.286017
"113209668",Station P8 - roh Urxova/ Petra Slezáka,14.455959,50.09464
"71515012",Station Mars-la-Tour-Straße,8.208219,53.150715
"134269149",Station virtuell - Orangerie,13.027693,52.403983
"131331268",Station virtuell - Heckmannufer,13.44881,52.497109
"181537802",Station virtuell - Reichenberger Straße/Liegnitzer Straße,13.434842,52.493815
"79450552",Station Körkarlens gata,11.988624,57.757655
"131484602","Station https://www.google.com/maps/place/52%C2%B032'17.7%22N+13%C2%B025'03.2%22E/@52.5382558,13.4169961,169m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x1a2fc4d60f0fd6f3!8m2!3d52.538255!4d13.4175433",13.421359,52.54186
"208597276",Station Nádraží,17.446419,49.447197
"2585285",Station Metro Plac Wilsona,20.983366,52.269408
"6260330",Station Foribach,8.253227,46.896185
"49538609",Station U2 - UTB (odpočinková zóna),17.657817,49.221058
"17631622",Station Rathaus Waisenhofstraße,10.132444,54.321722
"21732591",Station Maxstr.,13.362655,52.550496
"165046819",Station virtuell - M Allee der Kosmonauten/Rhinstraße,13.519691,52.528704
"9410212",Station Žilpo,18.75736,49.211206
"28031992",Station Mölndals bro,12.019499,57.655967
"405785",Station Waterfront,14.498826,35.907601
"8338659",Station Łukasiewicza - Miodowa,19.682971,52.554467
"12501085",Station Łukasiewicza / Smoluchowskiego (PWr),17.064884,51.108288
"120950907",Station Zastávka U Kapličky,17.24832,49.57441
"136093026",Station virtuell - Zeughofstraße/Wrangelstraße,13.438423,52.500104
"29965273",Station Mestni trg,15.39383,46.21691
"141464789",Station Infecar (elec.),-15.445678,28.106892
"33721242",Station Leszka/Browarna,17.02459,52.40797
"44543931",Station Písek - Dobešice ubytovna,14.112781,49.328013
"72790055",Station Harreweg,8.229634,53.100585
"138181913",Station virtuell - Humannplatz (Erich-Weinert-Straße),13.421838,52.549962
"81910",Station 86115 Ernst-Reuter-Platz,10.895364,48.368611
"186617286",Station Av. Pallaresa,2.205028,41.4542
"174558532",Station virtuell - Franz-Stenzer-Straße (23),13.549241,52.544995
"43207697",Station Gnieźnieńska,16.19847,54.17638
"1360472",Station Chopina - Wszystkich Świętych,14.53581,53.45392
"91761764",Station 70 CARRETERA VALLDEMOSSA-GUILLEM FORTEZA,2.650056,39.587889
"147388283",Station Rückgabestation vitalisstr. nord,6.893578,50.951182
"203615548",Station virtuell - Passenheimer Straße/Jesse-Owens-Allee,13.221689,52.510992
"10062411",Station Gewerbegebiet Nord,8.665547,49.454289
"33269872",Station Schwabentorbrücke,7.853658,47.990274
"41631304",Station Hruška Třanovského,18.35675,49.68845
"48363394",Station Bad Honnef Stadtbahn,7.217476,50.644026
"141788134",Station 309 - Valencia,-0.40822,39.472894
"28045942",Station Gamlestads torg (A),12.004718,57.727428
"13177065",Station Lerchenplatz,8.360102,47.041952
"50811490",Station Kall - Keldenich,6.58455,50.537531
"33224910",Station Otyńska,16.978385,51.11251
"3173821",Station U Hermannplatz/Hasenheide,13.422333,52.487122
"200558437",Station Horní náměstí - Obchodní akademie,15.171053,50.725701
"5368254",Station Plaza de América,-15.441225,28.129631
"42613734",Station Riddrie South,-4.192788,55.867405
"86736071",Station P3 - Seifertova X Krásova,14.446667,50.084684
